"filename", "language", "SCSS", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/index.jsx", "JavaScript JSX", 0, 39, 0, 1, 8, 48
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/nft/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/restaurant/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/smooth-scroll/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/sushi/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/pages/projects/travel/index.jsx", "JavaScript JSX", 0, 144, 0, 5, 14, 163
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/styles/Home.module.scss", "SCSS", 22, 0, 0, 0, 1, 23
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/styles/globals.scss", "SCSS", 71, 0, 0, 0, 4, 75
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/utils.js", "JavaScript", 0, 0, 5, 0, 2, 7
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/utils/useDimensions.js", "JavaScript", 0, 0, 20, 0, 4, 24
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/utils/useMouse.js", "JavaScript", 0, 0, 39, 4, 7, 50
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/utils/useMousePosition.js", "JavaScript", 0, 0, 19, 7, 7, 33
"Total", "-", 4127, 7208, 1009, 343, 1283, 13970
